DBName                                                                                                                           type                                                                                                                                                                                                                                                             type_desc                                                                                                                                                                                                                                                        cnt
QRSSEARCH                                                                                                                        F                                                                                                                                                                                                                                                                FOREIGN KEY 제약 조건                                                                                                                                                                                                                                                6
QRSSEARCH                                                                                                                        FN                                                                                                                                                                                                                                                               SQL 스칼라 함수                                                                                                                                                                                                                                                       1
QRSSEARCH                                                                                                                        FS                                                                                                                                                                                                                                                               어셈블리(CLR) 스칼라 함수                                                                                                                                                                                                                                                 1
QRSSEARCH                                                                                                                        FT                                                                                                                                                                                                                                                               어셈블리(CLR) 테이블 반환 함수                                                                                                                                                                                                                                              1
QRSSEARCH                                                                                                                        IF                                                                                                                                                                                                                                                               SQL 인라인 테이블 반환 함수                                                                                                                                                                                                                                                1
QRSSEARCH                                                                                                                        IT                                                                                                                                                                                                                                                               내부 테이블                                                                                                                                                                                                                                                           5
QRSSEARCH                                                                                                                        P                                                                                                                                                                                                                                                                SQL 저장 프로시저                                                                                                                                                                                                                                                      1
QRSSEARCH                                                                                                                        PC                                                                                                                                                                                                                                                               어셈블리(CLR) 저장 프로시저                                                                                                                                                                                                                                                1
QRSSEARCH                                                                                                                        PG                                                                                                                                                                                                                                                               계획 지침                                                                                                                                                                                                                                                            1
QRSSEARCH                                                                                                                        PK                                                                                                                                                                                                                                                               PRIMARY KEY 제약 조건                                                                                                                                                                                                                                                10
QRSSEARCH                                                                                                                        R                                                                                                                                                                                                                                                                규칙 (이전 스타일의 독립 실행형)                                                                                                                                                                                                                                              1
QRSSEARCH                                                                                                                        RF                                                                                                                                                                                                                                                               복제 필터 프로시저                                                                                                                                                                                                                                                       1
QRSSEARCH                                                                                                                        S                                                                                                                                                                                                                                                                시스템 기본 테이블                                                                                                                                                                                                                                                       45
QRSSEARCH                                                                                                                        SN                                                                                                                                                                                                                                                               동의어                                                                                                                                                                                                                                                              1
QRSSEARCH                                                                                                                        SO                                                                                                                                                                                                                                                               시퀀스 개체                                                                                                                                                                                                                                                           1
